Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
3/19/2021 12:00 AM,20 C,19 C,94 %,SSW,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Partly Cloudy
3/19/2021 12:30 AM,21 C,19 C,88 %,SSW,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/19/2021 1:00 AM,21 C,19 C,88 %,SSW,13 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Mostly Cloudy
3/19/2021 1:30 AM,21 C,19 C,88 %,SSW,15 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Mostly Cloudy
3/19/2021 2:00 AM,21 C,19 C,88 %,SSW,13 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Mostly Cloudy
3/19/2021 2:30 AM,21 C,18 C,83 %,SSW,13 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Mostly Cloudy
3/19/2021 3:00 AM,21 C,19 C,88 %,SW,15 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Cloudy
3/19/2021 3:30 AM,21 C,19 C,88 %,SSW,15 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Light Rain
3/19/2021 4:00 AM,21 C,19 C,88 %,SSW,11 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Cloudy
3/19/2021 4:30 AM,21 C,19 C,88 %,SSW,13 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Light Rain
3/19/2021 5:00 AM,21 C,19 C,88 %,SSW,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Heavy Drizzle
3/19/2021 5:30 AM,21 C,19 C,88 %,SSW,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/19/2021 6:00 AM,21 C,18 C,83 %,SSW,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/19/2021 6:30 AM,21 C,19 C,88 %,SSW,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Showers in the Vicinity
3/19/2021 7:00 AM,22 C,19 C,83 %,SSW,11 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Showers in the Vicinity
3/19/2021 7:30 AM,22 C,19 C,83 %,SSW,7 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Showers in the Vicinity
3/19/2021 8:00 AM,23 C,19 C,78 %,SSW,13 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/19/2021 8:30 AM,24 C,19 C,73 %,SSW,13 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Mostly Cloudy
3/19/2021 9:00 AM,24 C,19 C,73 %,SSE,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Cloudy
3/19/2021 9:06 AM,24 C,20 C,78 %,SE,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Showers in the Vicinity
3/19/2021 9:30 AM,25 C,20 C,74 %,SSE,9 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/19/2021 10:00 AM,26 C,20 C,69 %,SE,13 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Fair
3/19/2021 10:30 AM,26 C,20 C,69 %,SE,11 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Fair
3/19/2021 11:00 AM,27 C,20 C,65 %,SE,13 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/19/2021 11:30 AM,27 C,20 C,65 %,ESE,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/19/2021 12:00 PM,27 C,20 C,65 %,ESE,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/19/2021 12:30 PM,27 C,21 C,70 %,NE,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/19/2021 1:00 PM,27 C,20 C,65 %,ENE,15 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/19/2021 1:30 PM,28 C,20 C,62 %,E,15 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Fair
3/19/2021 2:00 PM,27 C,21 C,70 %,ENE,15 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Partly Cloudy
3/19/2021 2:30 PM,28 C,21 C,66 %,ENE,15 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Mostly Cloudy
